"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"K_XYL_F_0011_02",-0.0649958574199808,-0.0485423209260805,-0.000544365268787899,54.3
"K_XYL_F_0012_01",-0.0833439698403775,-0.0510545369667443,-0.0140965506041615,27.62
"K_XYL_F_0012_02",-0.0576922499956363,-0.0329042595421846,0.31357468482462,18.08
"K_XYL_F_0013_01",-0.0555089940249153,0.0896596307228448,-0.00356568339411771,54.3
"K_XYL_F_0013_02",-0.0629753987476546,-0.0343684790505023,0.226397106391522,27.62
"K_XYL_F_0017_01",-0.130807199551044,-0.0769686059736409,-0.0345981934995188,18.08
"K_XYL_F_0017_02",-0.098345579578331,0.0362734902115529,-0.0226107973139952,54.3
"K_XYL_F_0018_01",-0.0639729880270953,-0.0288987889063584,0.00433526646298099,27.62
"K_XYL_F_0018_02",-0.0669902899556131,0.00417319390077934,-0.0151295162822554,18.08
"K_XYL_F_0022_01",-0.0700367412599131,-0.0658839727383514,-0.0255109658622071,54.3
"K_XYL_F_0022_02",-0.0465079676852313,-0.0112554858567717,0.256464847471265,27.62
"K_XYL_F_0028_01",-0.0394209930511102,-0.014816165681182,-0.011595541483683,18.08
"K_XYL_F_0028_02",-0.0527157693772189,-0.0494407811828144,-0.0192240119019555,54.3
"K_XYL_F_0030_02",-0.0307268537215513,-0.00926308174907737,-0.00187950318547125,27.62
"K_XYL_F_0030_03",-0.143720430089464,-0.183286163484413,-0.0568499080225667,18.08
"K_XYL_F_0033_01",-0.0861223782169881,-0.0931435525329403,0.0373012040416732,54.3
"K_XYL_F_0033_02",-0.107832781303645,-0.100437493593597,0.0604124489678386,27.62
"K_XYL_F_0035_01",-0.0763161811794405,-0.0426227716957109,-0.0197263731172282,18.08
"K_XYL_F_0035_02",-0.0765659021016165,0.0239704913466759,-0.0162404629240494,54.3
"K_XYL_F_0035_03",-0.0560165818513586,-0.000338383238046157,-0.0153422423081394,27.62
"K_XYL_F_0036_01",-0.0804648764596822,-0.00819643128150198,-0.0165445599197452,18.08
"K_XYL_F_0036_02",-0.079288679556834,-0.0704687126111111,-0.0236070278753571,54.3
"K_XYL_F_0037_01",-0.0351835183933249,-0.016880921631118,0.259563357673543,27.62
"K_XYL_F_0037_02",-0.0484291718794,-0.0418914259062958,0.283887168729392,18.08
"K_XYL_F_0038_01",-0.110927086923688,-0.0364907999341222,-0.0328967042260009,54.3
"K_XYL_F_0038_02",-0.192833527715888,-0.19210841912179,-0.0710111282583877,27.62
"K_XYL_F_0039_01",-0.0924402105399497,-0.0511826848540182,-0.025357297615213,18.08
"K_XYL_F_0039_02",-0.0815139753216325,0.154919163617565,-0.00786132568462638,54.3
"K_XYL_F_0042_01",-0.0553491018553757,-0.0429747509723495,0.124219877359344,27.62
"K_XYL_F_0042_02",-0.0393585112882612,-0.025069369945482,0.16228339679414,18.08
"K_XYL_F_0043_01",-0.121268397611611,-0.102074223203188,-0.0423784444142697,54.3
"K_XYL_F_0043_02",-0.142306015890093,-0.175410288466336,-0.0548073685971006,27.62
"K_XYL_F_0044_01",-0.107451513555789,-0.115889828307868,-0.0389504436906119,18.08
"K_XYL_F_0044_02",-0.114390926118553,-0.120000212970921,-0.0392597946809173,54.3
"K_XYL_F_0045_01",-0.0736286654069072,-0.00277018740957312,0.0931463412700974,27.62
"K_XYL_F_0045_02",-0.101909001244251,-0.0636056018009554,-0.0257533759584753,18.08
"K_XYL_F_0046_01",-0.0642825558517353,-0.00529099976984009,0.101167889607433,54.3
"K_XYL_F_0046_02",-0.11145337640371,-0.0639323162375207,-0.0316061373182218,27.62
"K_XYL_F_0047_01",-0.0706237195005673,-0.0379586973519532,-0.0112611552544519,18.08
"K_XYL_F_0047_02",-0.0758131834977382,-0.0301514686870105,-0.0191944652835868,54.3
"K_XYL_F_0048_01",-0.0683562656655958,0.0573381508041782,0.0676134735574495,27.62
"K_XYL_F_0048_02",-0.0467386968901331,0.0027859025781726,-0.0124264772645017,18.08
