"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE"
"K_XYL_F_0012_01",1.57618453637955,0.646042952799289,2.82520155456307,15,15,NA
"K_XYL_F_0012_02",1.56351539855772,0.657047920475227,2.91585926927661,20,20,NA
"K_XYL_F_0013_01",0.958513910176181,0.462005192674746,1.85875399982333,9,9,NA
"K_XYL_F_0013_02",1.44288566349102,0.669045692778738,3.02156514715321,18,18,18
"K_XYL_F_0017_01",1.39521655679022,0.56734191106284,2.31129389596422,23,23,NA
"K_XYL_F_0017_02",1.32896910603862,0.622283363830126,2.64748730725819,19,19,NA
"K_XYL_F_0018_01",1.77722231115824,0.775954414782806,4.46337739273274,15,15,NA
"K_XYL_F_0018_02",1.3685233341063,0.652284755684298,2.87591647575873,13,13,13
"K_XYL_F_0022_01",1.32473122812574,0.535585608908019,2.15324938068498,13,13,NA
"K_XYL_F_0022_02",1.80679098878946,0.735159272351854,3.77585429884692,21,21,NA
"K_XYL_F_0028_01",1.56992708163325,0.725777144634667,3.64666905195685,11,11,NA
"K_XYL_F_0028_02",1.31959924119342,0.521531091753286,2.08999996188753,14,14,NA
"K_XYL_F_0030_02",2.08242749783385,0.815012536896115,5.40577173837137,19,19,NA
"K_XYL_F_0030_03",0.850854121675487,0.322462877322867,1.47593388838789,13,13,13
"K_XYL_F_0033_01",1.70892372147564,0.648004719375632,2.8409471803889,19,19,NA
"K_XYL_F_0033_02",1.46600804702956,0.608073378530928,2.55149802340976,21,21,21
"K_XYL_F_0035_01",1.90763396788157,0.734137244277882,3.76133918150314,23,23,NA
"K_XYL_F_0035_02",1.84586522979661,0.735556502495636,3.78152614617986,25,25,25
"K_XYL_F_0035_03",1.81206778228339,0.748664195352428,3.97874071862631,17,17,NA
"K_XYL_F_0036_01",2.14391411987713,0.788596589834574,4.73029266281697,27,27,27
"K_XYL_F_0036_02",1.37389623653642,0.618580461599632,2.62178493580557,10,10,NA
"K_XYL_F_0037_01",1.39914851772282,0.601255544112867,2.50787185937215,15,15,15
"K_XYL_F_0037_02",1.40452175200447,0.61206029164495,2.57772014172053,20,20,NA
"K_XYL_F_0038_01",1.305817640569,0.617818845129089,2.61656020255046,15,15,NA
"K_XYL_F_0038_02",0.949878613369184,0.377064941482109,1.60530377336481,20,20,20
"K_XYL_F_0039_01",1.37920566764808,0.584671121411231,2.40773047951268,18,18,NA
"K_XYL_F_0039_02",0.68649461748254,0.348482530877541,1.53487826097268,6,6,NA
"K_XYL_F_0042_01",1.88823403543772,0.778614301472281,4.51700361247496,20,20,20
"K_XYL_F_0042_02",1.49697859690513,0.686023836985775,3.18495515837835,14,14,14
"K_XYL_F_0043_01",1.28039081290884,0.502284388928193,2.00917949478528,20,20,NA
"K_XYL_F_0043_02",0.839486478386953,0.299344609113909,1.42723514727453,19,19,NA
"K_XYL_F_0044_01",1.05357581907341,0.432528424596136,1.76220280159109,11,11,NA
"K_XYL_F_0044_02",1.06796340398619,0.448878660668514,1.81448245356097,16,16,NA
"K_XYL_F_0045_01",1.91706861491587,0.799819915262096,4.99550193171964,24,24,24
"K_XYL_F_0045_02",1.66341996696093,0.705345223402255,3.39380210138312,19,19,19
"K_XYL_F_0046_01",1.83120091042652,0.799599653439163,4.99001133062622,19,19,19
"K_XYL_F_0046_02",1.56175985807037,0.692381765701557,3.25078258862193,18,18,18
"K_XYL_F_0047_01",1.87814803147675,0.703432998485689,3.37191931298447,20,20,NA
"K_XYL_F_0047_02",1.69754637675926,0.709188469949452,3.43865320548392,19,19,19
"K_XYL_F_0048_01",1.64728451753042,0.753735576087603,4.0606758544861,14,14,NA
"K_XYL_F_0048_02",1.85682942462057,0.758900625774525,4.14766733929723,16,16,NA
