"feature","pvalue","padj","mean_poor","mean_great"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis",0.246932664493464,1,0.00532989292599678,0.0043528229371712
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis",0.265037182070602,1,0.00261067339053049,0.00409168471320699
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",0.267654664410022,1,0.00100564552850277,0.000415452600806832
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans",0.275823165152069,1,0.00686255879509313,0.00557979164404468
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",0.283657196231111,1,0.014242266127,0.0063793247034075
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",0.287977028400876,1,0.000783775293488796,0.000638816370585741
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",0.29259811027921,1,0.00363367374718771,0.0045128377004681
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",0.296456620510949,1,0.00754964765171913,0.00979429093677449
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__neonatale",0.314325164118966,1,0.000402715541176167,0.00164229366298156
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__",0.323560159752508,1,0.00267514090297752,0.0240207638196503
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20",0.324520824360071,1,0.000546527451207692,0.000948614553046046
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__",0.329832937656909,1,0.00349725741946247,0.0151901760611719
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques",0.332335972232288,1,0.000959846560792461,0.00156897556337604
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",0.334846266799124,1,0.00307399996403547,0.00352865289721942
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula",0.337913092078135,1,0.00184426263174295,0.00238231797738754
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus;s__",0.345859604875998,1,0.000346555465918258,0.000711773109151964
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__",0.345859604875998,1,5.57471088155691e-05,0.00020118246395168
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens",0.348361618701878,1,0.00490893249768754,0.0091181324510693
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__",0.354866459336187,1,0.00935118814866892,0.0118540823469265
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__",0.368251051921179,1,0.00184220277606108,0.00212371835026011
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus",0.37047264539495,1,0.012974510501623,0.000911740147653099
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__",0.378440962678766,1,0.000499632199002821,0.000360630990449657
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__",0.398199300182559,1,0.00148897954559167,0.00220169850026227
"k__Bacteria;__;__;__;__;__;__",0.404171515253026,1,0.000944362672267827,0.000232336511787933
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",0.405121424482985,1,0.0225023886796928,0.0293805531027629
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea",0.413382034820737,1,0.00264190597143023,0.000257389536934604
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__",0.419186135949583,1,0.00836688586947533,0.00142521350308352
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__;__",0.421939742596065,1,0.000555385389241429,0.000421056191816808
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__",0.426728927399647,1,0.00694642541741148,0.00379425803908201
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",0.435537022606531,1,0.000371026993748706,7.93184710020387e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__",0.438149469898055,1,0.000812048455389792,0.00276557473940579
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__",0.453670775811332,1,0.00121962783126156,0.0021204332451773
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__Woodsholea;s__maritima",0.471531571142574,1,9.84624051687038e-05,0.000186088580970411
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__",0.482743172550427,1,0.00619878924403631,0.00423078145155764
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;s__",0.498622842184651,1,0.000233289659751707,0.00018781415428784
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__anginosus",0.51578226348996,1,0.00054872513026379,0.00102344155544806
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Methyloversatilis;s__",0.524042392728139,1,7.34148195611117e-05,0.000143164595165592
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__mucosae",0.528131567885666,1,0.00166630047596973,0.000635100971761791
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae",0.529114863533865,1,0.000410245311571447,0.000967329703578168
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta",0.53317147179933,1,0.00120084373617688,0.00141104295531972
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__",0.541711616549657,1,0.000509710390596384,0.000466763728896231
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri",0.544413919413919,1,0.000453454660297728,0.000234546009526257
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__celatum",0.544413919413919,1,0.000571066132199794,0.000295973433049947
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__luteciae",0.550231189575452,1,0.0001638874167002,0.00107615863490182
"k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__;s__",0.550231189575452,1,3.1592396401123e-05,0.000162436109386577
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__",0.553099895405891,1,0.00308018380269998,0.00181337664454348
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__",0.555234033512851,1,0.00167164904349376,0.000770842877442953
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis",0.560548625132521,1,0.0101416647637887,0.00859429276406844
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve",0.566031481683006,1,0.000824272011554889,0.0012238952532972
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__",0.566398597056371,1,0.0310779111476096,0.0167777012553566
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__",0.577322760444284,1,0.000993525893266936,0.000781154779663398
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__",0.587000775776595,1,0.000159061913113869,0.000135076625008059
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae",0.593453917019465,1,0.0058002603225598,0.00741815399141219
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__",0.602685020577872,1,0.0106404204962542,0.00726020095430245
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__",0.605361642189114,1,0.0101561829188143,0.00856051212025998
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius",0.612544037947971,1,0.00747827210800074,0.00326326981850877
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",0.621983925123686,1,0.000209254226124394,0.000359378233479056
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__perfringens",0.621983925123686,1,0.00116483278553099,0.000782377701781507
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__",0.623508280391825,1,0.0005162201646898,0.000401269356093748
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__",0.628720020469008,1,0.00705134233566593,0.00607612358474604
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__",0.63386672216022,1,0.00169677136492062,0.00210767717420501
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__",0.638069439955928,1,0.00128730162729899,0.00187745906133632
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus",0.646651544764259,1,0.0339809408762502,0.0196411718583703
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__",0.647103056886764,1,0.00170053618659894,0.00143947150920856
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__",0.653839904275187,1,0.00819951167147358,0.00915443537416262
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__",0.661816303979804,1,0.0156999366083865,0.0150123721343553
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii",0.669708426406261,1,0.00206433667784061,0.00298068546708141
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__",0.670697833381704,1,0.0110315240546001,0.00373124734459796
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis",0.675220462175607,1,0.0292926801351035,0.0588962840432795
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii",0.678290134769675,1,0.00532749654756565,0.00268411353626042
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;__;__",0.684981684981685,1,2.5601210988633e-05,5.23463493691867e-05
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__",0.686263878217784,1,0.000134847332407651,0.000197099481796857
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",0.690710120032593,1,0.000724500124368091,0.000800549628168633
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta",0.694445577263683,1,0.00784172082232351,0.00311743517246461
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae",0.696633045520164,1,0.00198296981082325,0.00191526013360864
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",0.699940054353521,1,0.030948909925203,0.0326059443281598
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__",0.719335448287935,1,0.000301520632406714,0.000105347581279365
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii",0.720741229338578,1,0.041558841866729,0.0359838809514615
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava",0.721490313222468,1,0.00374030145837308,0.00447288927161318
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__",0.724209716374206,1,2.99095462961655e-05,5.99221205590743e-05
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0.730585623105029,1,0.0157221652196681,0.0104241070887304
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__",0.730720801902225,1,0.00135823335275546,0.00171059498216702
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus",0.744578809753347,1,0.00109972007075937,0.00124609224212255
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei",0.754736002165844,1,0.000125932202818439,0.000125229685810792
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum",0.757533360685048,1,0.00246019710005684,0.00246101528800377
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__",0.761852812080214,1,0.00146062851408191,0.00249971828421443
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum",0.763480526824145,1,0.00196195113563217,0.00140431957918379
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae",0.795252454131651,1,0.00106288390775024,0.00127894044842515
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__onderdonkii",0.796150843691828,1,0.000218255465145899,0.00106125050979246
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme",0.797245146015273,1,0.00314931109489294,0.00137047324318344
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__",0.818440114346376,1,0.00142292758071563,0.00207551387743158
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__",0.819887103142686,1,0.0021986546644808,0.00107615920896591
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__",0.824258799082162,1,0.000899750696059638,0.000949430456384353
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum",0.8270601241814,1,0.00091017115803502,0.00114289453644932
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis",0.835242985193168,1,0.00581127106102791,0.00644085316143138
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__",0.848689123242218,1,0.00712324390349825,0.00808001872266955
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme",0.849137479173601,1,0.000669865594965795,0.00107670855644625
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__",0.857604292527663,1,0.0382845034231019,0.0303729290809971
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__D168",0.861167988258847,1,0.00156248049981843,0.00501228262161571
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__",0.866858179306067,1,0.00398596109630975,0.00434999539032927
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__",0.872455321026609,1,0.0485372303169607,0.0637682618688078
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__",0.88122490574116,1,0.00393200781255372,0.00230352084024931
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__",0.891071338252564,1,0.159596600721192,0.169266927180232
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",0.897482826535734,1,0.00194782512910704,0.00257440792511039
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum",0.909900210054493,1,0.00170315348808118,0.000946049117118537
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__hathewayi",0.917578550004224,1,0.000744785383959245,0.000366277540972233
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__",0.917578550004224,1,0.000394548310447955,0.000439084194448264
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__",0.924192883265039,1,0.00193550409189809,0.00194313044445806
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__",0.927658037749234,1,0.00568812815372541,0.00653211288195985
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__butyricum",0.928429040626873,1,0.00219956242944139,0.000492448265412036
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__",0.928938841180517,1,0.00944823165850264,0.00956884268236869
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus",0.931161714961307,1,0.000931958111435209,0.000714546947649996
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",0.934430562717141,1,0.00457733757679764,0.00289808440568951
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena",0.945030092999949,1,0.00177986341297441,0.00191392047447085
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae",0.954482675794151,1,0.000700396295817228,0.000206438328733712
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter;__",0.954482675794151,1,0.000277790993990617,0.000275414481999154
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__",0.954482675794151,1,0.000241939133104025,0.000334155186290768
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",0.958809961812815,1,0.00252232991494717,0.00220762499426963
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum",0.965692781550988,1,0.000487632537410155,0.000730874278000016
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__",0.971133677537069,1,0.000203772891593991,0.000344020865903493
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",0.984089692752998,1,0.0124922324809097,0.0102476106333635
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus",0.986019620834848,1,0.000928509943362255,0.000722626632367307
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;__;__",0.991539062030866,1,3.44767083819216e-05,6.83324733801153e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__",0.992218810382951,1,0.00735146556121026,0.00657811928350838
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__",0.994974981428516,1,0.0107773712330628,0.00986414842850243
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__",1,1,8.14918792394758e-05,6.6007249081995e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar",1,1,0.010453721488963,0.0240252860279663
