"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE","pielou","observed"
"J_XYL_F_0043_01",1.83847155902067,0.711378517803793,3.46474556360359,25,25,25,0.571153302906908,NA
"J_XYL_F_0043_2",1.63014199324305,0.770350197313509,4.35445616892239,9,9,NA,0.741909593610744,NA
"J_XYL_F_0044_01",1.34409226450767,0.660510986120368,2.94560341900948,8,8,NA,0.646371748167476,NA
"J_XYL_F_0044_02",1.34635929831617,0.65385963787677,2.88900142666398,11,11,NA,0.561475437893061,NA
"J_XYL_F_0045_01",0.655159576236833,0.291327997741516,1.41109003433616,10,10,10,0.284532188725729,NA
"J_XYL_F_0045_2",0.852157066672615,0.309386765677512,1.44798846923492,21,21,21,0.279898435338787,NA
"J_XYL_F_0046_01",1.98696348285586,0.750231792355372,4.00371211944959,24,24,24,0.625213916731651,NA
"J_XYL_F_0046_02",1.6201846026562,0.696251828093906,3.29220088379382,18,18,NA,0.56054540327902,NA
"J_XYL_F_0047_01",1.33738817631409,0.617971467783935,2.61760553380455,20,20,NA,0.446431140766621,NA
"J_XYL_F_0047_02",1.68305644985196,0.720789712256522,3.58152992170096,16,16,NA,0.607034298434402,NA
"J_XYL_F_0048_01",0.593601640840553,0.263159065364327,1.35714501325099,11,11,11,0.247551111833092,NA
"J_XYL_F_0049_02",1.83924630169647,0.75488309317254,4.07968594636317,17,17,17,0.649173245479384,NA
"J_XYL_F_0050_01",1.10001237113365,0.481091105516751,1.92712056129977,16,16,NA,0.396745598187755,NA
"J_XYL_F_0050_02",0.466389615236211,0.290985434007134,1.41040825952518,2,2,NA,0.672857985023394,NA
"J_XYL_F_0051_01",0.974719599048444,0.483103059462951,1.93462162681987,10,10,10,0.423315343269689,NA
"J_XYL_F_0051_02",1.73380226788161,0.666098964917847,2.99489937116835,16,16,NA,0.625336983438711,NA
"J_XYL_F_0053_01",1.87614408929033,0.760241654583354,4.17086628731202,23,23,23,0.598356737435208,NA
"J_XYL_F_0053_02",1.94917897300532,0.764423963095982,4.24491392733394,23,23,23,0.621649679053136,NA
"J_XYL_F_0057_01",1.32720335097997,0.650356226711566,2.86005379302169,6,6,NA,0.740726293776349,NA
"J_XYL_F_0057_02",1.73429540237501,0.744812538452716,3.91868783025889,20,20,NA,0.578922027740992,NA
"J_XYL_F_0058_01",1.36118265033193,0.595691636450078,2.47335966839708,15,15,NA,0.502643063920273,NA
"J_XYL_F_0058_02",1.87174877324715,0.764948191897769,4.25438122801026,18,18,18,0.647580633229531,NA
"J_XYL_F_0059_01",1.91785194723037,0.745688575011002,3.93218668820429,19,19,NA,0.651347153328784,NA
"J_XYL_F_0059_02",1.85370022896286,0.745584518766055,3.93057841900926,19,19,NA,0.62955973687308,NA
"J_XYL_F_0060_01",1.68131891982322,0.733311225310925,3.74968913170744,19,19,19,0.571015032649511,NA
"J_XYL_F_0060_02",1.14826720986163,0.489803672465433,1.96002978859594,20,20,20,0.383301011241364,NA
"J_XYL_F_0061_01",1.37513606747376,0.544020173862499,2.19307948000851,14,14,NA,0.521070933943766,NA
"J_XYL_F_0061_02",1.72253684794215,0.678907778167624,3.11437005323051,17,17,17,0.607979929063884,NA
"J_XYL_F_0062_01",1.98036247684731,0.722781433505002,3.6072619977928,24,24,24,0.6231368575121,NA
"J_XYL_F_0062_02",1.50784721169586,0.614784835342794,2.59595179979448,19,19,19,0.512100003554066,NA
"J_XYL_F_0064_01",1.15886323955814,0.467326595619407,1.87732293704963,22,22,NA,0.374910166082991,NA
"J_XYL_F_0064_02",1.13721128940541,0.528332330550137,2.12013683525599,12,12,12,0.457647489293987,NA
"J_XYL_F_0065_01",1.75303087283484,0.717891069564051,3.54473003904796,20,20,20,0.585176081424368,NA
"J_XYL_F_0065_02",1.63698962562398,0.672680840273144,3.0551221041704,18,18,NA,0.566359542211797,NA
"J_XYL_F_0066_01",1.60372578705148,0.707661519043183,3.4206923314612,12,12,NA,0.64538673402009,NA
"J_XYL_F_0066_02",1.35120386275817,0.624305446621714,2.66173675132602,13,13,13,0.526795532561866,NA
"K_XYL_F_0001_01",1.1152806022052,0.570837860369117,2.33012166651067,9,9,9,0.507586076411589,NA
"K_XYL_F_0001_02",0.678379586621288,0.388121472480107,1.63431131347797,8,8,NA,0.326231621819613,NA
"K_XYL_F_0002_01",0.855534892557386,0.362840163910787,1.56946490246128,15,15,NA,0.315922833413196,NA
"K_XYL_F_0002_02",0.902070175779867,0.510015411185105,2.04088051507631,10,10,NA,0.391764099630693,NA
"K_XYL_F_0003_01",1.38974898599103,0.614526621369535,2.59421287029694,15,15,15,0.513191736779985,NA
"K_XYL_F_0003_02",1.08472575448203,0.461768171427972,1.85793545999143,14,14,NA,0.411027734149365,NA
"K_XYL_F_0004_01",0.925507485697651,0.500549495523213,2.00220040031309,8,8,NA,0.445075019973872,NA
"K_XYL_F_0004_02",0.967211495697948,0.519147143019958,2.07963826248308,10,10,NA,0.420054615415009,NA
"K_XYL_F_0005_01",1.83749273646849,0.747630401543661,3.96244241032465,14,14,NA,0.696268594034816,NA
"K_XYL_F_0005_02",1.17853970656317,0.456354203620431,1.83943296657408,14,14,NA,0.446576015358859,NA
"K_XYL_F_0007_01",1.51975907245511,0.682064917343664,3.14529617695864,13,13,NA,0.592510362060004,NA
"K_XYL_F_0007_02",1.51103753977381,0.727840033783005,3.67430968595393,9,9,NA,0.687702820803917,NA
"K_XYL_F_0008_01",1.62488036378156,0.738504626950446,3.82415944243303,15,15,15,0.60001855324551,NA
"K_XYL_F_0008_02",1.56224409881336,0.692748636514653,3.25466415724366,12,12,NA,0.628693274633333,NA
"K_XYL_F_0009_01",1.79433959629983,0.755912468410813,4.09689095337756,12,12,12,0.72209537386562,NA
"K_XYL_F_0009_02",1.72715003155052,0.697044270877075,3.30081230975582,23,23,23,0.550838213247575,NA
"K_XYL_F_0009_03",1.89217596072877,0.756658856541754,4.10945714230026,19,19,19,0.642626990783976,NA
"K_XYL_F_0011_01",1.67494949066681,0.69291186555801,3.25639413524427,18,18,NA,0.579492754207495,NA
"K_XYL_F_0011_02",1.65936366947072,0.664724024877735,2.98261752765116,15,15,NA,0.612752181918688,NA
"K_XYL_F_0012_01",1.57618453637955,0.646042952799289,2.82520155456307,15,15,NA,0.5820366755897,NA
"K_XYL_F_0012_02",1.56351539855772,0.657047920475227,2.91585926927661,20,20,NA,0.521914261952002,NA
"K_XYL_F_0013_01",0.958513910176181,0.462005192674746,1.85875399982333,9,9,NA,0.436238480154916,NA
"K_XYL_F_0013_02",1.44288566349102,0.669045692778738,3.02156514715321,18,18,18,0.49920418006757,NA
"K_XYL_F_0017_01",1.39521655679022,0.56734191106284,2.31129389596422,23,23,NA,0.444975005758947,NA
"K_XYL_F_0017_02",1.32896910603862,0.622283363830126,2.64748730725819,19,19,NA,0.451348836040354,NA
"K_XYL_F_0018_01",1.77722231115824,0.775954414782806,4.46337739273274,15,15,NA,0.656273768645383,NA
"K_XYL_F_0018_02",1.3685233341063,0.652284755684298,2.87591647575873,13,13,13,0.533547896423458,NA
"K_XYL_F_0022_01",1.32473122812574,0.535585608908019,2.15324938068498,13,13,NA,0.516474613532641,NA
"K_XYL_F_0022_02",1.80679098878946,0.735159272351854,3.77585429884692,21,21,NA,0.593456289368163,NA
"K_XYL_F_0028_01",1.56992708163325,0.725777144634667,3.64666905195685,11,11,NA,0.654710445215202,NA
"K_XYL_F_0028_02",1.31959924119342,0.521531091753286,2.08999996188753,14,14,NA,0.500026743028656,NA
"K_XYL_F_0030_02",2.08242749783385,0.815012536896115,5.40577173837137,19,19,NA,0.707240840298678,NA
"K_XYL_F_0030_03",0.850854121675487,0.322462877322867,1.47593388838789,13,13,13,0.331723555944806,NA
"K_XYL_F_0033_01",1.70892372147564,0.648004719375632,2.8409471803889,19,19,NA,0.580390265706722,NA
"K_XYL_F_0033_02",1.46600804702956,0.608073378530928,2.55149802340976,21,21,21,0.481523154129152,NA
"K_XYL_F_0035_01",1.90763396788157,0.734137244277882,3.76133918150314,23,23,NA,0.608399772575016,NA
"K_XYL_F_0035_02",1.84586522979661,0.735556502495636,3.78152614617986,25,25,25,0.573450275880769,NA
"K_XYL_F_0035_03",1.81206778228339,0.748664195352428,3.97874071862631,17,17,NA,0.639580420614961,NA
"K_XYL_F_0036_01",2.14391411987713,0.788596589834574,4.73029266281697,27,27,27,0.650491576810439,NA
"K_XYL_F_0036_02",1.37389623653642,0.618580461599632,2.62178493580557,10,10,NA,0.59667555423541,NA
"K_XYL_F_0037_01",1.39914851772282,0.601255544112867,2.50787185937215,15,15,15,0.516662695969723,NA
"K_XYL_F_0037_02",1.40452175200447,0.61206029164495,2.57772014172053,20,20,NA,0.468840878874069,NA
"K_XYL_F_0038_01",1.305817640569,0.617818845129089,2.61656020255046,15,15,NA,0.482198461475166,NA
"K_XYL_F_0038_02",0.949878613369184,0.377064941482109,1.60530377336481,20,20,20,0.317077270807746,NA
"K_XYL_F_0039_01",1.37920566764808,0.584671121411231,2.40773047951268,18,18,NA,0.477172413507102,NA
"K_XYL_F_0039_02",0.68649461748254,0.348482530877541,1.53487826097268,6,6,NA,0.383139941087239,NA
"K_XYL_F_0042_01",1.88823403543772,0.778614301472281,4.51700361247496,20,20,20,0.630308005861154,NA
"K_XYL_F_0042_02",1.49697859690513,0.686023836985775,3.18495515837835,14,14,14,0.567239892861052,NA
"K_XYL_F_0043_01",1.28039081290884,0.502284388928193,2.00917949478528,20,20,NA,0.427404953443937,NA
"K_XYL_F_0043_02",0.839486478386953,0.299344609113909,1.42723514727453,19,19,NA,0.285109144501479,NA
"K_XYL_F_0044_01",1.05357581907341,0.432528424596136,1.76220280159109,11,11,NA,0.439375243374942,NA
"K_XYL_F_0044_02",1.06796340398619,0.448878660668514,1.81448245356097,16,16,NA,0.385186376695443,NA
"K_XYL_F_0045_01",1.91706861491587,0.799819915262096,4.99550193171964,24,24,24,0.603220938742242,NA
"K_XYL_F_0045_02",1.66341996696093,0.705345223402255,3.39380210138312,19,19,19,0.564936131714924,NA
"K_XYL_F_0046_01",1.83120091042652,0.799599653439163,4.99001133062622,19,19,19,0.621918444696356,NA
"K_XYL_F_0046_02",1.56175985807037,0.692381765701557,3.25078258862193,18,18,18,0.5403318288742,NA
"K_XYL_F_0047_01",1.87814803147675,0.703432998485689,3.37191931298447,20,20,NA,0.626941215026737,NA
"K_XYL_F_0047_02",1.69754637675926,0.709188469949452,3.43865320548392,19,19,19,0.576526254668666,NA
"K_XYL_F_0048_01",1.64728451753042,0.753735576087603,4.0606758544861,14,14,NA,0.624194290531222,NA
"K_XYL_F_0048_02",1.85682942462057,0.758900625774525,4.14766733929723,16,16,NA,0.669709650669202,NA
